Original Index,Values,Ticker,Forward Return,Monday Datetime,Monday First Hour Close,Friday Last Hour Open
12,81.0,BAC,8.967391304347816,2023-07-17 14:30:00,29.44,32.08
3,117.0,ALL,8.874692874692876,2023-07-17 14:30:00,101.75,110.78
49,112.0,GS,8.644171779141105,2023-07-17 14:30:00,326.0,354.18
36,101.0,DHR,8.352370074243282,2023-07-17 14:30:00,210.12,227.67
93,59.0,RNG,7.682359027418537,2023-07-17 14:30:00,38.66,41.63
106,98.0,TMO,7.623558169734925,2023-07-17 14:30:00,523.64,563.56
59,70.0,JNJ,7.3155376479476235,2023-07-17 14:30:00,158.84,170.46
114,39.0,UAA,6.763925729442979,2023-07-17 14:30:00,7.54,8.05
92,95.0,ROKU,21.78879910838674,2023-07-24 14:30:00,71.78,87.42
71,125.0,META,11.6729646169701,2023-07-24 14:30:00,291.1,325.08
5,97.0,AMAT,10.468159348647866,2023-07-24 14:30:00,137.56,151.96
86,34.0,PLTR,9.870609981515713,2023-07-24 14:30:00,16.23,17.832
13,115.0,BABA,9.765155652648824,2023-07-24 14:30:00,91.55,100.49
48,21.0,GOOG,9.141546526867637,2023-07-24 14:30:00,122.08,133.24
75,61.0,MU,7.9086647512475485,2023-07-24 14:30:00,66.13,71.36
25,36.0,CINF,6.986474652135845,2023-07-24 14:30:00,102.77,109.95
56,76.0,INTC,6.8593111500291934,2023-07-24 14:30:00,34.26,36.61
73,126.0,MMM,6.407035175879396,2023-07-24 14:30:00,87.56,93.17
105,64.0,TEAM,10.44254658385094,2023-07-31 14:30:00,180.32,199.15
27,5.0,CLX,6.331749853582363,2023-07-31 14:30:00,153.67,163.4
7,77.0,AMZN,5.94619036852816,2023-07-31 14:30:00,132.69,140.58
91,9.0,REGN,4.141060792285143,2023-07-31 14:30:00,740.39,771.05
6,15.0,AMGN,3.4611786716557473,2023-07-31 14:30:00,235.18,243.32
46,65.0,GILD,2.9958137100994326,2023-07-31 14:30:00,76.44,78.73
63,67.0,KR,2.2268041237113367,2023-07-31 14:30:00,48.5,49.58
4,115.0,AMD,2.202565236620972,2023-07-31 14:30:00,113.05,115.54
76,101.0,NET,1.768115942028984,2023-07-31 14:30:00,69.0,70.22
32,104.0,CSCO,1.0767160161507445,2023-07-31 14:30:00,52.01,52.57
52,116.0,HUBS,6.269454948085318,2023-08-07 14:30:00,478.67,508.68
6,126.0,AMGN,6.101845495295406,2023-08-07 14:30:00,247.63,262.74
91,124.0,REGN,4.082925946043808,2023-08-07 14:30:00,773.22,804.79
16,122.0,BDX,3.5132158590308555,2023-08-07 14:30:00,272.4,281.97
105,103.0,TEAM,3.2333645735707637,2023-08-07 14:30:00,192.06,198.27
85,62.0,PFE,3.168712532115328,2023-08-07 14:30:00,35.03,36.14
33,84.0,CVS,2.311269146608312,2023-08-07 14:30:00,73.12,74.81
104,78.0,T,2.2759601706970147,2023-08-07 14:30:00,14.06,14.38
112,89.0,TWLO,2.242524916943512,2023-08-07 14:30:00,60.2,61.55
17,108.0,BIIB,2.073792769648926,2023-08-07 14:30:00,268.59,274.16
84,26.0,PGR,6.5034854245880815,2023-08-14 14:30:00,126.24,134.45
34,60.0,DDOG,5.790244451954489,2023-08-14 14:30:00,88.77,93.91
79,106.0,NVDA,4.059572423732879,2023-08-14 14:30:00,41.63,43.32
5,123.0,AMAT,2.7905308464849257,2023-08-14 14:30:00,139.4,143.29
32,63.0,CSCO,2.4661598368255113,2023-08-14 14:30:00,53.93,55.26
114,7.0,UAA,2.061855670103095,2023-08-14 14:30:00,7.76,7.92
88,116.0,PPG,1.784413692643837,2023-08-14 14:30:00,137.3,139.75
85,34.0,PFE,1.638433768397677,2023-08-14 14:30:00,36.01,36.6
81,82.0,ORCL,1.5320334261838484,2023-08-14 14:30:00,114.88,116.64
91,71.0,REGN,1.188419129072767,2023-08-14 14:30:00,804.43,813.99
57,123.0,INTU,6.777364996613377,2023-08-21 14:30:00,487.21,520.23
120,64.0,WDAY,4.81683691440648,2023-08-21 14:30:00,227.12,238.06
109,42.0,TSLA,4.404939136526842,2023-08-21 14:30:00,228.38,238.44
58,125.0,ISRG,4.374364191251281,2023-08-21 14:30:00,285.07,297.54
54,126.0,IFF,3.589823630404263,2023-08-21 14:30:00,64.07,66.37
97,94.0,SHOP,3.427830276079306,2023-08-21 14:30:00,53.97,55.82
56,93.0,INTC,3.380893300248127,2023-08-21 14:30:00,32.24,33.33
76,52.0,NET,3.2418952618453916,2023-08-21 14:30:00,60.15,62.1
78,124.0,NOW,2.9648762209651434,2023-08-21 14:30:00,549.77,566.07
89,86.0,PRU,2.8771469204682307,2023-08-21 14:30:00,91.41,94.04
80,83.0,OKTA,20.091832475302628,2023-08-28 14:30:00,71.87,86.31
97,116.0,SHOP,19.25820256776034,2023-08-28 14:30:00,56.08,66.88
66,114.0,LULU,10.932326300522668,2023-08-28 14:30:00,365.43,405.38
112,65.0,TWLO,9.922506738544476,2023-08-28 14:30:00,59.36,65.25
31,82.0,CRWD,9.676758012710993,2023-08-28 14:30:00,146.33,160.49
68,115.0,MDB,9.551781737193766,2023-08-28 14:30:00,359.2,393.51
52,122.0,HUBS,8.772582983893098,2023-08-28 14:30:00,510.34,555.11
56,87.0,INTC,8.635014836795243,2023-08-28 14:30:00,33.7,36.61
93,91.0,RNG,7.625125965737318,2023-08-28 14:30:00,29.77,32.04
79,121.0,NVDA,7.139709122961646,2023-08-28 14:30:00,45.38,48.62
87,125.0,PNC,7.202779425472418,2023-09-11 14:30:00,118.01,126.51
33,123.0,CVS,6.958490566037735,2023-09-11 14:30:00,66.25,70.86
49,91.0,GS,5.4772267516704485,2023-09-11 14:30:00,326.26,344.13
104,76.0,T,5.186721991701244,2023-09-11 14:30:00,14.46,15.21
22,75.0,C,4.884004884004884,2023-09-11 14:30:00,40.95,42.95
90,120.0,PYPL,4.614381216370452,2023-09-11 14:30:00,61.33,64.16
45,64.0,GM,4.213740458015275,2023-09-11 14:30:00,32.75,34.13
42,90.0,F,4.019688269073013,2023-09-11 14:30:00,12.19,12.68
